commentaire,classe
"...Well, maybe not SNL-esque throughout the full length of the movie, but most of the film was a (poorly delivered) ""comedy.""During the first scene, I wondered if I was in the right theater, because it had more of a serious tone than many of the other Marvel movies. Unfortunately, shortly after Gorr encountered his god, the seriousness tone disintegrated immediately and the movie launched into full ludicrous mode.I rolled my eyes too often. The ""jokes"" came zooming by too often. Guns & Roses music was used too often. The goats screamed (way) too often.There's too much that should have been shown, but occurred off screen. (Gorr killing various gods, for example). I often wanted more from the movie and also wanted the movie to end quickly at the same time.At one point, I thought...""I wish I was more tired, so I could take a short nap during this movie."" That's not good.I like Taika Waititi, but he needed to switch to decaf on this project. He turned the knob past 11 to 374, (Take that Spinal Tap).This movie was silly and stupid throughout the majority of its run time. Maybe watch this on TV when nothing else is on.",negatif
"I'm a huge marvel fanboy, and hardly ever have anything bad to say to about the MCU, but this was a huge letdown. Ragnarok is easily one of my top 5 marvel films , so was very excited to see this one, but this was really really bad. It was boring as hell and none of the jokes landed for me. First time in a marvel movie I really wanted to leave or wished it would end already. Huge waste of Gorr the god butcher. And the whole Zeus and Olympus part were so cringe worthy. I don't know how this got made. It was garbage.",negatif
"First off let's start by asking what gods Gorr the GOD BUTCHER actually butchered? Some off screen, one he killed that was far from butchering at the beginning of the movie, apparently cut off Sif's arm but at no point did he seem like this absolutely terrifying villain he should have been. Thor, Valkyrie and Jane never seemed afraid of him in the least. In fact, in the times they were captured they were never hurt, Thor just kept making wise cracks and in the battles Gorr never seemed to have an upper hand other than wounding Valkyrie who was apparently never even close to death. Christian Bale played the character wonderfully but the script was just bad.Now for the humor. There's so much of it that it isn't even humorous anymore. In fact, after the 4th joke in 60 seconds I found myself just going ""can we get on with the movie?"". Many of the jokes fell flat to the point I only heard a handful of people laughing now and then in the movie theater. The ""serious"" moments are interrupted by more joking. Jane telling Thor she has cancer has to be a serious moment right? Cut to Valkyrie and Korg making jokes and singing in the other room. Jane receiving chemo? Nope, ""funny"" moment of her tearing apart her own book to explain wormholes to another guy in the office. The screaming goats were funny the first time they screamed then it just got annoying.Why were the Guardians of the Galaxy in this movie? Starlord looked like a hobo and everyone else was just screaming to the point that it gave me a headache and then of course they brought the goats in.Nobody dies or comes close to dying to a villain in this movie and perhaps that's one of many reasons it wasn't enjoyable. None of the villains have seemed like villains in phase 4. Gorr was redeemed at the end after being beaten. Jane dies of cancer which was expected but then goes to Valhalla in the end credit scene so nothing seems ""final"".Thor steals Zeus' thunderbolt and ends up giving the power of Thor to kids in the movie temporarily...but he whispers it to the Thunderbolt so shouldn't it have been the power of Zeus? This was just one of so many plotholes in this movie. Eternity can grant any wish but uh....why didn't they use that to bring back those erased in the snap or Natasha.The best part of this movie was Thor arguing with Stormbreaker because of him being jealous of Mjolnir. They finally make up after Thor ""gives him a beer"" but then at the end of the movie he gives it to Gorr's resurrected daughter. It's just a small little arc there that went nowhere.Overall this movie was horrible. They tried to take Ragnarok's mix of humor and serious moments but ramped the humor up to 11 and it failed. The end says Thor will return and I hope he does, just with a different script writer and director.",negatif
I can't be bothered typing an essay so I'll sum up:Thor is reduced to a bumbling idiot to elevate Jane and Valkyrie.Horrible CGI.Jokes that don't land.A plot not worth caring about.Forgettable set pieces.Overuse of Guns N Roses.,negatif
"So, carrying on from WandaVision, Wanda continues her arc as a slaver who faces no consequences for enslaving a town full of people to now being a mass-murdering slaver who risks the lives of trillions of people's lives, destroys universes, enslaves more people, so she can murder a child, which will help her switch her plan to murder a mother and kidnap her imaginary children.And her redemption arc is she notices she is a monster and ends her reign of terror in the last 2 minutes.And we're meant to sympathise with her for those heinous acts because she is sad because she had to stop imagining her children, and had to stop all the slaving and torture she was doing in order to imagine some fake imaginary children.It was loud and shiny and stupid, so it was fine as totally brainless, lightweight nonsense... Pretty meh overall, and I stopped paying attention during some parts as I was thinking about other things because it was not engaging at all.",negatif
"Great visuals, actors and actresses do their best to make it believable. Benedict Wong's character proves to be a bad-ass. Olsen also does her best. Cumberbatch is as usual. No bad things there. Even the cameos can, at some level, sell the plot points.OK!There is one important plot hole: at the end of WandaVision, Wanda learns hot to neutralize other people's magic. She does that at the magnitude of a town. In this movie, instead of using that same magic and by-pass the Sorcerer Supremes and their wizards, she tortures and kills them. Why?One important issue in character development: Wanda learns that her happiness means nothing if it is based on other people's misery at the end of WnadaVision. In this film, she has completely forgotten that lesson and at the end she learns it, again! Come on! Writers! Learn to respect these characters!Disney identity politics: Wanda kills the 3 male cameos (Picard, Jim from the Office, and some guy) easily. Literally, with her mind. OK. But she fights Carter and Captain Marvel, and Captain Marvel dies because of a statue falling on her! The same Captain Marvel, who pierced a hole in Thanos's spaceship, dies because of rubble?!And of course, she does not look for a universe where Vision is still alive.If you have noticed, I did not mention Dr. Strange. It is because Dr. Strange has NO function or importance in this movie. Cut out his scenes completely, and the plot will not change.In a Dr. Strange movie, Dr. Strange does not matter, at all.Edit: other than the VFX scenes, the worst photography and the worst editing in MCU.",negatif
"I always had some issues with MCU films but now they aren't even entertaining? Oh Raimi, what a disappointment. I honestly only liked the horror elements and being able to see some blood in a MCU film. Nothing else.The plot is super weak - the worst of the film - but the script is also very erroneous with some strange and unexplainable writing decisions. There are some interesting shots - some Dutch angles and POV are cool - but this feel stupidly long for a film that is just 2 hours long. It's like watching the action going from setpiece to setpiece in a very inorganic way while travelling between boring universe with a lot of cringe dialogue. I don't even get the point of all this story for the entire universe and even the score - surprisingly considering that is Elfman - is super generic.I won't lie: I had much more fun watching Eternals, Captain Marvel or Wonder Woman 1984 than this one. Said it.",negatif
"After months of hype, we are left with a mess of a story that is mostly just CGI blobs, some light shows and some boring dialogue. I loved the first Strange movie, it's my second favorite after Captain America Winter Soldier. So this was extra disappointing.Firstly, you're not going to have any idea what's going on with the main antagonist unless you watched the Disney+ show Wandavision. Even though I did watch it, it had been months, and I didn't remember all the details, so her whole backstory fell flat. This movie was less about Strange and more about her.There's also a subplot involving Strange's old flame, but since we only saw them as exes in the previous film, it Didn't really feel that impactful.There's also an obligatory teen sidekick, which I guess is now standard in the Phase IV fully Disneyized MCU. She might have been interesting, but she's just there as a macguffiin and has no real personality.There's also random cameos from other Marvel properties, I'm beginning to see these bits of crossover fan service are the sole purpose of having a multiverse.Seriously, I don't know why I keep giving my money to this franchise. Black Widow, Eternals, Shang Chi and now Dr Strange 2, have all been dull, uninspired CGI crap fests, that rely entirely on cameos and fan service to keep people coming back. Let's just face it, Hollywood milked all they could from Marvel. It's time to give the franchise ( and maybe all superhero movies)a good 10-15 year rest and reboot it after audiences grow nostalgic.",negatif
"This film is about a transvestite on one level, but it is also a lot more: it's about, belonging, being, loving and being loved. What could have been a one-dimensional caricature becomes a three dimensional movie in the hands of a good director like Neil Jordan, and actors such as Liam Neeson, Stephen Rea, and Cillian Murphy (who is magnificent).Cillian Murphy imbues Patrick ""Kitten"" with growing dignity as he/she matures through the film, and at the end she has become a self-assured woman, who has 'found' family, her mother and father, and a meaning in life.The film does not shy away from the Irish-English conflict, either, and the prejudice directed against ""Paddy"" is appalling, reminiscent of ""In the Name of the Father."" It is not for the faint-hearted, be aware! Costumes and music of the late 60's / early 70's are both equally impressive. There is an excellent soundtrack.In all, I found the film quirky and uplifting; a friend with me pronounced it ""depressing"". Whatever, it needs to be seen and Provo's an interesting view of the times in which the story is set. Judge for ourself.",positif
"Neil Jordan's films are always a pleasure to watch. There are always surprises in the way he develops his movies, as he proves with ""Breakfast on Pluto"", which the director helped adapt for the screen with the author of the novel, Pat McCabe. Mr. Jordan achieves another triumph in his distinguished career with this new movie that has a genuine and gritty look thanks to the excellent cinematography by Declan Quinn.When young Patrick is left at the step of the small town's church, Father Bernard doesn't seem too surprised to find the young infant at his door. He is instrumental in placing the young boy with one of the town's women who brings up Patrick until he is a teen ager. It becomes clear young Patrick is a little girl trapped in a boy's body. He begins calling himself Kitten. His love for the outrageous makes him dress in a manner that he sticks out from the crowd. As such, he attracts the eye of a singer of a band who falls for Kitten and takes her to live in a remote part of the country. Alas, the romance takes a tragic turn because of Billy's involvement with the IRA.Kitten always wanted to find the ""Phantom Lady"", a nickname he gave to his natural mother, who moved to London after giving him up. As he arrives in the big city, Kitten discovers a world he never knew and in many ways, he thrives int the rich atmosphere of that swinging place at that time. The film is, in a way, a picaresque account of Kitten's road to maturity. His goal to find his mother doesn't happen until the end of the film. When the moment comes, Kitten is not resentful of the way he was left behind as he discovers that his mother has made a life for herself and her new reality.The film is a delight because the work of Cillian Murphy. Mr. Murphy makes the delightful Kitten come alive. This is a tricky part to play and with the guidance of Mr. Jordan, this young actor makes the most of it. Equally excellent in smaller parts are Liam Neeson, Stephen Rea, Brendan Gleeson, Ruth Negg and Gavin Friday.The brilliant collaboration between Mr. Murphy, the star, and Mr. Jordan, the director, pays off in many ways making this film the delight and fun it is to watch.",positif
"I saw the film at the NY Film Festival (with the actors in attendance), and I have to say that I loved it. In the film, Patrick ""Kitten"" Braden is an Irish baby who was abandoned by his mother on the doorstep of an uncaring stepmother. From the time he is a child, Kitten's cross dressing tendencies and his outspoken nature cause people to reject him (remember, this is Catholic Ireland in the 70s). Kitten grows up among the unrest of the IRA, but he is determined to be happy, and in order to be happy, he has to be himself (or herself). He goes to London, where he encounters all sorts of problems (they don't like the fact that he's Irish or a transvestite), but he keeps his optimistic nature despite all the hardship. The film is not about a person discovering himself (as so many coming-of-age movies are); it is about a Kitten knowing who she is and not changing her ways to please the world at large.The direction and cinematography are amazing, but then this is Neil Jordan. Whatever problems you might have had with Interview With a Vampire, you can't deny that the movie was beautiful to look at. The same is true of all Jordan's films. He starts this film with a bird's eye view, and has many beautiful touches throughout. The chapter titles are hilarious. In particular, look out for the beautiful shot composition and direction of the scene between Kitten and her father in the peeping club. It's absolutely beautiful and well shot. Though he strays from the book (a lot), I believe the movie remains true to the character of Patrick, a charming, sometimes self-involved person who stubbornly makes his way through life. It must have been difficult to bring Kitten's active fantasy life to the screen, but Jordan helps us navigate between her fantasies and her reality with great skill.The performances are the best thing about the film. Liam Neeson is always great, and this is no exception. Same goes for Stephen Rea. The actress who plays Charlie is someone to watch out for; she's great. The guy who plays Irwin did not impress me, but he wasn't bad. The movie, however, belongs to Cillian. Physically, he is suited for the role because he's so small, but it isn't just his appearance that helps. I've been watching Murphy's career since 28 Days Later, and I love his ability to switch between being really intimidating (Red Eye) or really vulnerable (How Harry Became a Tree); sometimes he's both in the same movie (28 Days Later). The man knows how to use his body to convey strength, or the lack thereof. Here, he is absolutely convincing as the witty Kitten, who desperately wants to be loved, but won't compromise her personality. You can see the hurt in his eyes when he is mistreated, but also the strength of his mind when he is determined to do something (witness the gun disposal scene and the police interrogation scene). Just because Kitten looks weak doesn't mean he is weak. When you least expect it, he summons a great amount of strength to pull through difficult situations.I highly recommend the movie to anyone who has a chance to see it. It is hilarious, yet heartbreaking. The events related by Kitten are sad and terrible, but Kitten's sense of humor always shines through. The audience was in stitches the whole time. Was the movie perfect? No. Is it incredibly good, even great? Definitely.",positif
"Based on the novel by Pat McCabe, ""Breakfast on Pluto"" takes us on a loopy journey through the turbulent years of the late 1960's and early 1970's. Our guide for the occasion is one Patrick ""Kitten"" Jordan, a hopelessly romantic transvestite who finds himself looking for love in all the wrong places.The story begins in 1956 Ireland, when Patrick, as an infant, is left on the doorstep of a local priest who may just possibly be the father of the child. As Patrick grows up in the care of a bitter foster mother, he comes to learn that his real mother was a beautiful young woman - a dead ringer, he's told, for Mitzi Gaynor - who worked as a housekeeper for the priest, then disappeared in London not long after Patrick was born. With his effeminate mannerisms and penchant for wearing women's clothing, Patrick does not exactly fit into the highly conformist world of Irish Catholic society, and, as a result, he suffers much abuse at the hands of his less-than-understanding parochial school teachers who have no idea what to make of him. But Patrick has unlocked the secret to survival. He simply gives back as good as he gets, using sardonic humor and an air of indifference to protect himself from the ugliness and harshness of the society around him. Even if he is only laughing to cover up the hurt, at least it beats crying his eyes out at every bump in the road life throws his way.Eventually, Patrick becomes old enough to leave home and make his own way in the world. The film relates his brief involvements with a rock-n-roll band, some IRA gun runners, and an exploitative magician, as well as his eventual journey to London to find the mother who abandoned him. While there, he has a brief stint as a streetwalker and is even arrested as the prime suspect in a dancehall firebombing. But all of these travails are just brief downpours in Patrick's life experience, and while they may dampen his mood at times, they can't extinguish his spirit.Writer/director Neil Jordan has turned McCabe's novel into a fast paced (if overlong) film filled with warmth, humor and a sort of cockeyed optimism that helps to counterbalance some of the grim social issues (prejudice, child abandonment, terrorism) that lie along the story's periphery. The film occasionally feels aimless and episodic and some of Patrick's experiences are more compelling than others. Most of the subsidiary characters are left sketchy and underdeveloped, but that really doesn't matter all that much because Patrick has enough personality for the lot of them. And Cillian Murphy makes what could easily have been just another mincing gay stereotype into a multi-dimensional character of substance and depth. Most of the other actors (Liam Neeson, Stephen Rea et. al.) aren't given enough screen time to make much of an impression, though Neeson nicely underplays the role of Patrick's priest and father.Patrick knows that, when the going gets tough, we all need to journey to that special place of imagination and beauty where we can find security and comfort. For Patrick, as the title suggests, that place is Pluto. However, now that that particular celestial object has lost its planetary status, I wonder if Patrick will still be traveling there to partake in the most important meal of the day.",positif
"While this is not a completely conventional film either in structure or storytelling, it is deeply committed to telling the story of Kitten. Just as the film is committed, so is Cillian Murphy committed to being the best Kitten he can, and he succeeds to an almost uncomfortable point, which I think is part of the storytellers goal.Who does not want to be loved? Not many of us, and Kitten wants it more than most. Her journey to find love in whatever form it may take is both touching and harrowing at times. You cringe when she finds her self in certain situations, and you root for her to take charge of her life, but that is something she is quite unable to do for the most part of her journey.While this story features the good, the bad and the ugly of the transvestite lifestyle, there is no judgment being made, it is presented as a simple fact of Kitten's life from nearly the first time you see her. That in itself is refreshing. There are stereotypes, but not presented in stereotypical situation, which is also refreshing.I came away from this movie with a warm feeling in my heart for the character, the story, and the commitment of everyone involved in the film, it drew me in, it took me to places I did not expect, and it gave me a film experience you simply can not find every day in our cookie cutter Hollywood film world these days. My hat is off to all of you involved in the film. If you like something different, something unexpected, and something unusual made with a lot of love, this is the film for you.",positif
"Cillian Murphy (""Batman Begins,"" ""Red Eye"")gives a marvelous performance as Patrick ""Kitten"" Brady, a flashy transvestite who came of age in Ireland and Great Britain during the English government's battle with the Irish Republican Army in the 1970s.Told in chapters, such as ""When I was Out of My League,"" or ""It's Tearing Me Apart,"" or ""Phantom Ladies,"" there is not really a lot to recommend here except for Murphy's brilliant reading (one which may even cop him an Oscar nomination, but I doubt it) and a great soundtrack that plays everything from the Shadows to Bobby Goldsboro to Silver Convention to the Youngbloods, among others.Abandoned as a baby in his small Irish hometown and aware from a very early age that he is different, Braden is an endearing, deceptively tough young man. He dresses in his foster sister's clothes and applies her lipstick, only to scandalize his cluck-clucking foster mother. In his teens, he gets into even more trouble with his Catholic school priests after writing a hard-core story of his birth (claiming that one of the parish fathers, Liam Neesom, is really his dad).Taking a powder to London, he falls into the transvestite glam rock scene, taking small time show business jobs such as a costume-wearing Wombie with Brendan Gleeson (""Braveheart,"" ""Harry Potter and the Goblet of Fire""), and a cheap suit magician's assistant with Stephen Rea (""The Crying Game,"" which was also about the IRA and transvestism). All the time he is searching for his real mother, the only clue to her identity is that she looks like Mitzi Gaynor.His best friends Charlie and Irwin have a relationship, she gets pregnant, he gets killed by the IRA, he is implicated in the bombing of a British discotheque, falls into prostitution, peep shows and finally settles into sort of an ordinary life helping to raise Charlie's baby.Directed by Neil Jordan (""The Good Thief,"" ""The Crying Game""), this is an interesting picture carried - once again - by Murphy and the music and is based on the novel by Pat McCabe (""The Butcher Boy""). Also look for an interesting cameo by Brian Ferry as a homicidal maniac.",positif
"There's never been a character like ""Kitten"" on the screen before or an actor like Cillian Murphy for that matter. What a feast of a film! What a joyful race through a desolate existence dressed in smiles and hope and gratefulness. Neil Jordan's introduce us to this extraordinary real life character with the magical slant of a fairy tale. A lesson for all seasons. A unique portrait of a victim that behaves like a hero. The idea of victim doesn't even enter the orbit of his reality. How beautiful! I hope this marvellous film find its way to a large audience. I want everyone to feel what I felt. I was enthralled by the positiveness at the heart of its message. And if all this wasn't enough. Liam Neeson! Giving the best performance of his career as the most human of the imperfect humans that populate the planet. Do yourself a favour, put aside preconceptions and run to have breakfast on Pluto.",positif
"I found this movie one morning on cable. I couldn't stop watching it.Cillian Murphy is mesmerizing. His performance makes you want to watch this movie. He deserved to win the Golden Globe in 2006 for his performance.The only negative is you must listen hard to understand the text of the movie as the accents and language are thick and difficult to understand at times.Liam Neeson is also outstanding in this movie as well. Without giving anything away, he has one scene where he goes to Kitten in London and explains things. I cried! It is definitely worth watching.",positif
"Cillian Murphy is superb as an alien of sorts finding its way in our midst. Giving the other cheek as if it was nothing. The goodness, Cillian Murphy, finds in his character goes - I'm sure - far beyond what the screenplay may have required. The goodness of his character feels private. A personal discovery. I hope I'm not making the character sound sentimental, because he/she's not, far from it and that is one of the many surprises to be enjoyed in a film full of surprises. Neil Jordan had already confronted sexual identity in the brilliant ""The Crying Game"" he, as far as I'm concerned, goes even further in ""Breakfast On Pluto"". There is no confusion here, everything is blatantly true. Moving beyond words. A mesmerizing piece of acting and film making of the purest kind. Don't miss it.",positif
"I really liked the opening and closing sequences of this film, including the robin dialogue  it added a nice whimsy and set the tone for the film. But at 2 hours and 15 minutes, there was a lot of tedium in between. The story had little coherence and never really engaged me. It just kind of chugged along from one chapter to another. I didn't have a problem with Cillian Murphy's character  it had more to do with the writing of the story.The revelation by the priest seemed to be straight out of Wim Wenders' Paris, Texas. I generally like Jordan's film, but I didn't find much to like about this one. Others may may find it more entertaining.",positif
"This spellbinding, tightly written, tightly wound, full speed ahead film is Neil Jordan's best work by far since his 1992 hit, ""The Crying Game."" And, interestingly, in this new film, Jordan returns to exactly the same intertwined themes that marked ""Crying Game"": the armed struggle of Northern Irish Catholics against the British Crown and gender bending.Unlike the last minute revelations in ""Crying Game,"" however, here the protagonist's transsexuality is placed front and center from the getgo. Cillian Murphy gives a bravura performance as Patrick ""Kitten"" Braden, in a story set in the 60s and 70s. Murphy oozes sensual vitality and is a world class flirt, but he's also genuinely kind and compassionate toward everybody.The story is divided into 35 brief, fast paced ""chapters"" following Kitten's life over several years, first in a village near Belfast, later in London. The musical score, which is extraordinarily good, is an eclectic mix of everything from 40s pop tunes to Harry Nilsson and Van Morrison. Good supporting turns are provided by Liam Neeson, Ruth Negga, Stephen Rea, Gavin Friday and Brendan Gleeson. My top rated narrative drama of 2005: grade 10/10 A.",positif
"Shown at the New York Film Festival, October 2005. Limited US release November and December 2005.Neil Jordan and Patrick McCabe have collaborated in adapting McCabe's 1992 novel recounting the multi-faceted adventures of a transvestite from a little Irish town near the northern border who grows up in the Sixties and Seventies. This unusual and chronically upbeat person is Patrick/Patricia ""Kitten"" Braden (Cillian Murphy), who goes to London in his twenties to find his birth mother  ""The Phantom Lady,"" he calls her  who abandoned him as a baby on the doorsteps of a parish priest (Father Bernard, Liam Neeson). ""Pluto"" is a whirl of theatrical experiences  including stints as a rocker's ""squaw"" and a magician's assistant, not to mention street-walking and political violence which Kitten tries  not altogether successfully  to escape to live a fairytale life like the one described in Bobby Goldsboro's saccharine ""Honey"" and a lot of other bad pop songs that provide the movie's soundtrack. The story's divided into dozens of jaunty little chapters. Kitten/Patricia's fairy tale is really anything but pretty, but it's colorful and intentionally amusing and shows both Jordan and the unusual and strangely watchable Murphy working at an extremely manic pitch. This NYFF ""centerpiece"" has a kind of epic squalor. One must admire the smooth wheels of its giddy storytelling, but the talent of the young man with the pretty face, big cheekbones, and hauntingly big pale blue eyes is somewhat misused. He nails the resilient sweetness of his character a little too early and then tries to hog the screen with a one-note performance for over two hours. Lots of other good actors, including Stephen Rea, Brendan Gleeson, Liam Neeson, Gavin Friday, Ian Hart and Bryan Perry, keep him from succeeding completely in that aim, but the movie isn't up to Jordan's best work, such as ""Mona Lisa"" and ""The Crying Game."" I'd rather watch it than ""Interview with a Vampire,"" though, and it's another big notch on Cillian Murphy's ladder to fame.",positif
